WorkstationGroupID,TranID,BeginDateTime,EndDateTime,OperatorID,TranTime,BreakTime,ArtNum,TNcash,TNcard,Amount
1,1.90223E+13,2019-02-23T14:35:12,2019-02-23T14:35:12,10,0,2,1,FALSE,FALSE,1.79
1,1.90213E+11,2019-02-13T07:50:14,2019-02-13T07:50:23,101,9,17,3,TRUE,FALSE,13.19
1,1.90213E+11,2019-02-13T07:50:40,2019-02-13T07:51:01,101,21,209,6,TRUE,FALSE,21.2
1,1.90213E+11,2019-02-13T07:54:30,2019-02-13T07:55:05,101,35,16,1,TRUE,FALSE,106.2
1,1.90213E+11,2019-02-13T07:55:21,2019-02-13T07:55:27,101,6,17,1,TRUE,FALSE,106.2
1,1.90213E+12,2019-02-13T07:55:44,2019-02-13T07:55:51,101,7,30,1,TRUE,FALSE,106.2
1,1.90213E+12,2019-02-13T07:56:21,2019-02-13T07:56:27,101,6,9,1,TRUE,FALSE,106.2
1,1.90213E+12,2019-02-13T07:56:36,2019-02-13T07:56:41,101,5,12,1,TRUE,FALSE,106.2
1,1.90213E+12,2019-02-13T07:56:53,2019-02-13T07:56:59,101,6,19,1,TRUE,FALSE,106.2
1,1.90213E+12,2019-02-13T07:57:18,2019-02-13T07:57:23,101,5,16,1,TRUE,FALSE,106.2
1,1.90213E+12,2019-02-13T07:57:39,2019-02-13T07:57:44,101,5,15,1,TRUE,FALSE,106.2
1,1.90213E+12,2019-02-13T07:57:59,2019-02-13T07:58:03,101,4,9,1,TRUE,FALSE,106.2
1,1.90213E+12,2019-02-13T07:58:12,2019-02-13T07:58:16,101,4,26,1,TRUE,FALSE,106.2
1,1.90213E+12,2019-02-13T07:58:42,2019-02-13T07:58:47,101,5,78,1,TRUE,FALSE,53.1
1,1.90213E+12,2019-02-13T09:23:42,2019-02-13T09:23:49,101,7,24,3,TRUE,FALSE,9.87
1,1.90213E+12,2019-02-13T11:30:57,2019-02-13T11:32:56,101,119,20,17,TRUE,FALSE,63.18
1,1.90213E+12,2019-02-13T11:33:16,2019-02-13T11:34:06,101,50,9,9,FALSE,TRUE,62.7
1,1.90213E+12,2019-02-13T11:34:15,2019-02-13T11:35:59,101,104,16,35,TRUE,FALSE,101.71
1,1.90213E+12,2019-02-13T11:36:15,2019-02-13T11:36:37,101,22,18,5,TRUE,FALSE,25.27
1,1.90213E+12,2019-02-13T11:36:55,2019-02-13T11:37:24,101,29,24,8,TRUE,FALSE,21.85
1,1.90213E+12,2019-02-13T11:37:48,2019-02-13T11:38:15,101,27,43,16,TRUE,FALSE,75.06
1,1.90213E+12,2019-02-13T11:38:58,2019-02-13T11:40:49,101,111,36,30,FALSE,TRUE,84.5
1,1.90213E+12,2019-02-13T11:41:25,2019-02-13T11:41:55,101,30,7,5,FALSE,TRUE,18.05
1,1.90213E+12,2019-02-13T11:42:02,2019-02-13T11:43:56,101,114,17,9,TRUE,FALSE,39.07
1,1.90213E+12,2019-02-13T11:44:13,2019-02-13T11:44:38,101,25,18,9,TRUE,FALSE,24.75
1,1.90213E+12,2019-02-13T11:44:56,2019-02-13T11:45:33,101,37,19,11,TRUE,FALSE,35.29
1,1.90213E+12,2019-02-13T11:45:52,2019-02-13T11:46:33,101,41,16,13,TRUE,FALSE,45.79
1,1.90213E+12,2019-02-13T11:46:49,2019-02-13T11:48:43,101,114,16,20,TRUE,FALSE,737.91
1,1.90213E+12,2019-02-13T11:48:59,2019-02-13T11:49:07,101,8,15,1,TRUE,FALSE,2.19
1,1.90213E+12,2019-02-13T11:49:22,2019-02-13T11:50:19,101,57,10,11,TRUE,FALSE,33.01
1,1.90213E+12,2019-02-13T11:50:29,2019-02-13T11:51:33,101,64,25,20,TRUE,FALSE,106.06
1,1.90213E+12,2019-02-13T11:51:58,2019-02-13T11:52:15,101,17,11,1,FALSE,TRUE,8.99
1,1.90213E+12,2019-02-13T11:52:26,2019-02-13T11:53:19,101,53,41,24,TRUE,FALSE,60.78
1,1.90213E+12,2019-02-13T11:54:00,2019-02-13T11:55:53,101,113,12,38,FALSE,TRUE,112.07
1,1.90213E+12,2019-02-13T11:56:05,2019-02-13T11:57:02,101,57,16,12,FALSE,TRUE,40.8
1,1.90213E+12,2019-02-13T11:57:18,2019-02-13T11:57:37,101,19,22,4,TRUE,FALSE,18.04
1,1.90213E+12,2019-02-13T11:57:59,2019-02-13T11:58:56,101,57,22,29,TRUE,FALSE,119.73
1,1.90213E+12,2019-02-13T11:59:18,2019-02-13T12:00:15,101,57,24,7,TRUE,FALSE,27.94
1,1.90213E+12,2019-02-13T12:00:39,2019-02-13T12:01:22,101,43,21,5,TRUE,FALSE,35.68
1,1.90213E+12,2019-02-13T12:01:43,2019-02-13T12:02:55,101,72,11,21,FALSE,TRUE,81.86
1,1.90213E+12,2019-02-13T12:03:06,2019-02-13T12:03:15,101,9,5,3,TRUE,FALSE,2.1
1,1.90213E+12,2019-02-13T12:03:20,2019-02-13T12:03:40,101,20,24,1,TRUE,FALSE,3.29
1,1.90213E+12,2019-02-13T12:04:04,2019-02-13T12:04:10,101,6,12,1,TRUE,FALSE,3.5
1,1.90213E+12,2019-02-13T12:04:22,2019-02-13T12:05:16,101,54,18,17,TRUE,FALSE,32.56
1,1.90213E+12,2019-02-13T12:05:34,2019-02-13T12:06:51,101,77,11,25,FALSE,TRUE,52.25
1,1.90213E+12,2019-02-13T14:03:19,2019-02-13T14:04:34,101,75,23,26,TRUE,FALSE,25.44
1,1.90213E+12,2019-02-13T14:04:57,2019-02-13T14:05:20,101,23,17,3,FALSE,TRUE,28.37
1,1.90213E+12,2019-02-13T14:05:37,2019-02-13T14:06:30,101,53,18,18,TRUE,FALSE,43.76
1,1.90213E+12,2019-02-13T14:06:48,2019-02-13T14:07:40,101,52,26,6,TRUE,FALSE,56.62
1,1.90213E+12,2019-02-13T14:08:06,2019-02-13T14:09:15,101,69,14,16,FALSE,TRUE,30.36
1,1.90213E+12,2019-02-13T14:09:29,2019-02-13T14:10:05,101,36,19,6,TRUE,FALSE,22.41
1,1.90213E+12,2019-02-13T14:10:24,2019-02-13T14:11:29,101,65,22,6,FALSE,TRUE,46.58
1,1.90213E+12,2019-02-13T14:11:51,2019-02-13T14:12:04,101,13,13,3,TRUE,FALSE,17.47
1,1.90213E+12,2019-02-13T14:12:17,2019-02-13T14:12:36,101,19,11,3,FALSE,TRUE,11.97
1,1.90213E+12,2019-02-13T14:12:47,2019-02-13T14:13:28,101,41,21,12,TRUE,FALSE,37.29
1,1.90213E+12,2019-02-13T14:13:49,2019-02-13T14:14:18,101,29,88,10,TRUE,FALSE,32.22
1,1.90213E+12,2019-02-13T14:15:46,2019-02-13T14:17:01,101,75,13,16,FALSE,TRUE,62.4
1,1.90213E+12,2019-02-13T14:17:14,2019-02-13T14:17:50,101,36,21,9,TRUE,FALSE,13.42
1,1.90213E+12,2019-02-13T14:18:11,2019-02-13T14:19:22,101,71,20,14,TRUE,FALSE,56.81
1,1.90213E+12,2019-02-13T14:19:42,2019-02-13T14:21:22,101,100,24,27,TRUE,FALSE,141.74
1,1.90213E+13,2019-02-13T14:21:46,2019-02-13T14:22:36,101,50,17,10,TRUE,FALSE,29.83
1,1.90213E+13,2019-02-13T14:22:53,2019-02-13T14:22:56,101,3,15,2,TRUE,FALSE,17.16
1,1.90213E+13,2019-02-13T14:23:11,2019-02-13T14:23:16,101,5,19,1,TRUE,FALSE,1.99
1,1.90214E+11,2019-02-14T07:20:35,2019-02-14T07:22:15,101,100,33,4,TRUE,FALSE,170.96
1,1.90214E+11,2019-02-14T07:22:48,2019-02-14T07:23:46,101,58,20,21,TRUE,FALSE,68.66
1,1.90214E+11,2019-02-14T07:24:06,2019-02-14T07:25:06,101,60,11,16,FALSE,TRUE,91.93
1,1.90214E+12,2019-02-14T07:25:17,2019-02-14T07:25:48,101,31,24,4,TRUE,FALSE,43.35
1,1.90214E+12,2019-02-14T07:26:12,2019-02-14T07:27:35,101,83,20,14,TRUE,FALSE,54.52
1,1.90214E+12,2019-02-14T07:27:55,2019-02-14T07:28:08,101,13,15,6,TRUE,FALSE,36.79
1,1.90214E+12,2019-02-14T07:28:23,2019-02-14T07:28:30,101,7,32,3,TRUE,FALSE,10.83
1,1.90214E+12,2019-02-14T07:29:02,2019-02-14T07:29:58,101,56,22,8,TRUE,FALSE,11.34
1,1.90214E+12,2019-02-14T07:30:20,2019-02-14T07:30:55,101,35,15,12,TRUE,FALSE,89.76
1,1.90214E+12,2019-02-14T07:31:10,2019-02-14T07:32:06,101,56,21,14,TRUE,FALSE,91.04
1,1.90214E+12,2019-02-14T07:32:27,2019-02-14T07:33:28,101,61,24,14,TRUE,FALSE,47.24
1,1.90214E+12,2019-02-14T07:33:52,2019-02-14T07:34:00,101,8,19,1,TRUE,FALSE,4.4
1,1.90214E+12,2019-02-14T07:34:19,2019-02-14T07:35:51,101,92,11,49,FALSE,TRUE,188.79
1,1.90214E+12,2019-02-14T07:36:02,2019-02-14T07:37:00,101,58,32,23,TRUE,FALSE,173.11
1,1.90214E+12,2019-02-14T07:37:32,2019-02-14T07:38:02,101,30,15,8,FALSE,TRUE,34.18
1,1.90214E+12,2019-02-14T07:38:17,2019-02-14T07:38:53,101,36,30,14,TRUE,FALSE,74.21
1,1.90214E+12,2019-02-14T07:39:23,2019-02-14T07:39:43,101,20,21,4,TRUE,FALSE,29.44
1,1.90214E+12,2019-02-14T07:40:04,2019-02-14T07:41:21,101,77,32,20,TRUE,FALSE,134.71
1,1.90214E+12,2019-02-14T07:41:53,2019-02-14T07:42:45,101,52,21,13,TRUE,FALSE,34.12
1,1.90214E+12,2019-02-14T07:43:06,2019-02-14T07:43:29,101,23,55,9,TRUE,FALSE,30.17
1,1.90214E+12,2019-02-14T07:44:24,2019-02-14T07:45:09,101,45,15,5,FALSE,TRUE,31.51
1,1.90214E+12,2019-02-14T07:45:24,2019-02-14T07:46:29,101,65,33,11,FALSE,TRUE,237.02
1,1.90214E+12,2019-02-14T07:47:02,2019-02-14T07:47:55,101,53,14,19,TRUE,FALSE,73.9
1,1.90214E+12,2019-02-14T07:48:09,2019-02-14T07:48:54,101,45,159,11,TRUE,FALSE,55.58
1,1.90214E+12,2019-02-14T07:51:33,2019-02-14T07:52:01,101,28,33,3,FALSE,TRUE,8.61
1,1.90214E+12,2019-02-14T07:52:34,2019-02-14T07:53:43,101,69,17,17,FALSE,TRUE,73.38
1,1.90214E+12,2019-02-14T07:54:00,2019-02-14T07:54:34,101,34,24,11,TRUE,FALSE,44.78
1,1.90214E+12,2019-02-14T07:54:58,2019-02-14T07:55:49,101,51,20,23,FALSE,FALSE,97.1
1,1.90214E+12,2019-02-14T07:56:09,2019-02-14T07:57:00,101,51,39,15,TRUE,FALSE,103.98
1,1.90214E+12,2019-02-14T07:57:39,2019-02-14T07:58:42,101,63,19,25,TRUE,FALSE,76.63
1,1.90214E+12,2019-02-14T07:59:01,2019-02-14T07:59:57,101,56,36,18,TRUE,FALSE,38.96
1,1.90214E+12,2019-02-14T08:00:33,2019-02-14T08:01:08,101,35,25,9,TRUE,FALSE,32.99
1,1.90214E+12,2019-02-14T08:01:33,2019-02-14T08:02:28,101,55,32,36,FALSE,TRUE,127.4
1,1.90214E+12,2019-02-14T08:03:00,2019-02-14T08:04:16,101,76,10,12,FALSE,TRUE,37.72
1,1.90214E+12,2019-02-14T08:04:26,2019-02-14T08:04:39,101,13,8,1,FALSE,TRUE,14.99
1,1.90214E+12,2019-02-14T08:04:47,2019-02-14T08:05:12,101,25,32,7,TRUE,FALSE,66.65
1,1.90214E+12,2019-02-14T08:05:44,2019-02-14T08:06:10,101,26,60,7,TRUE,FALSE,19.23
1,1.90214E+12,2019-02-14T08:07:10,2019-02-14T08:08:03,101,53,20,35,TRUE,FALSE,83.54
1,1.90214E+12,2019-02-14T08:08:23,2019-02-14T08:09:17,101,54,36,19,TRUE,FALSE,94.08
