WorkstationGroupID,TranID,BeginDateTime,EndDateTime,TranTime,BreakTime,ArtNum,TNcash,TNcard,Amount,OperatorID
1,1.90E+13,2019-02-23T14:35:12,2019-02-23T14:35:12,0,2,1,FALSE,FALSE,1.79,101
1,1.90E+11,2019-02-13T07:50:14,2019-02-13T07:50:23,9,17,3,TRUE,FALSE,13.19,101
1,1.90E+11,2019-02-13T07:50:40,2019-02-13T07:51:01,21,209,6,TRUE,FALSE,21.2,101
1,1.90E+11,2019-02-13T07:54:30,2019-02-13T07:55:05,35,16,1,TRUE,FALSE,106.2,101
1,1.90E+11,2019-02-13T07:55:21,2019-02-13T07:55:27,6,17,1,TRUE,FALSE,106.2,101
1,1.90E+12,2019-02-13T07:55:44,2019-02-13T07:55:51,7,30,1,TRUE,FALSE,106.2,101
1,1.90E+12,2019-02-13T07:56:21,2019-02-13T07:56:27,6,9,1,TRUE,FALSE,106.2,101
1,1.90E+12,2019-02-13T07:56:36,2019-02-13T07:56:41,5,12,1,TRUE,FALSE,106.2,101
1,1.90E+12,2019-02-13T07:56:53,2019-02-13T07:56:59,6,19,1,TRUE,FALSE,106.2,101
1,1.90E+12,2019-02-13T07:57:18,2019-02-13T07:57:23,5,16,1,TRUE,FALSE,106.2,101
1,1.90E+12,2019-02-13T07:57:39,2019-02-13T07:57:44,5,15,1,TRUE,FALSE,106.2,101
1,1.90E+12,2019-02-13T07:57:59,2019-02-13T07:58:03,4,9,1,TRUE,FALSE,106.2,101
1,1.90E+12,2019-02-13T07:58:12,2019-02-13T07:58:16,4,26,1,TRUE,FALSE,106.2,101
1,1.90E+12,2019-02-13T07:58:42,2019-02-13T07:58:47,5,78,1,TRUE,FALSE,53.1,101
1,1.90E+12,2019-02-13T09:23:42,2019-02-13T09:23:49,7,24,3,TRUE,FALSE,9.87,101
1,1.90E+12,2019-02-13T11:30:57,2019-02-13T11:32:56,119,20,17,TRUE,FALSE,63.18,101
1,1.90E+12,2019-02-13T11:33:16,2019-02-13T11:34:06,50,9,9,FALSE,TRUE,62.7,101
1,1.90E+12,2019-02-13T11:34:15,2019-02-13T11:35:59,104,16,35,TRUE,FALSE,101.71,101
1,1.90E+12,2019-02-13T11:36:15,2019-02-13T11:36:37,22,18,5,TRUE,FALSE,25.27,101
1,1.90E+12,2019-02-13T11:36:55,2019-02-13T11:37:24,29,24,8,TRUE,FALSE,21.85,101
1,1.90E+12,2019-02-13T11:37:48,2019-02-13T11:38:15,27,43,16,TRUE,FALSE,75.06,101
1,1.90E+12,2019-02-13T11:38:58,2019-02-13T11:40:49,111,36,30,FALSE,TRUE,84.5,101
1,1.90E+12,2019-02-13T11:41:25,2019-02-13T11:41:55,30,7,5,FALSE,TRUE,18.05,101
1,1.90E+12,2019-02-13T11:42:02,2019-02-13T11:43:56,114,17,9,TRUE,FALSE,39.07,101
1,1.90E+12,2019-02-13T11:44:13,2019-02-13T11:44:38,25,18,9,TRUE,FALSE,24.75,101
1,1.90E+12,2019-02-13T11:44:56,2019-02-13T11:45:33,37,19,11,TRUE,FALSE,35.29,101
1,1.90E+12,2019-02-13T11:45:52,2019-02-13T11:46:33,41,16,13,TRUE,FALSE,45.79,101
1,1.90E+12,2019-02-13T11:46:49,2019-02-13T11:48:43,114,16,20,TRUE,FALSE,737.91,101
1,1.90E+12,2019-02-13T11:48:59,2019-02-13T11:49:07,8,15,1,TRUE,FALSE,2.19,101
1,1.90E+12,2019-02-13T11:49:22,2019-02-13T11:50:19,57,10,11,TRUE,FALSE,33.01,101
1,1.90E+12,2019-02-13T11:50:29,2019-02-13T11:51:33,64,25,20,TRUE,FALSE,106.06,101
1,1.90E+12,2019-02-13T11:51:58,2019-02-13T11:52:15,17,11,1,FALSE,TRUE,8.99,101
1,1.90E+12,2019-02-13T11:52:26,2019-02-13T11:53:19,53,41,24,TRUE,FALSE,60.78,101
1,1.90E+12,2019-02-13T11:54:00,2019-02-13T11:55:53,113,12,38,FALSE,TRUE,112.07,101
1,1.90E+12,2019-02-13T11:56:05,2019-02-13T11:57:02,57,16,12,FALSE,TRUE,40.8,101
1,1.90E+12,2019-02-13T11:57:18,2019-02-13T11:57:37,19,22,4,TRUE,FALSE,18.04,101
1,1.90E+12,2019-02-13T11:57:59,2019-02-13T11:58:56,57,22,29,TRUE,FALSE,119.73,101
1,1.90E+12,2019-02-13T11:59:18,2019-02-13T12:00:15,57,24,7,TRUE,FALSE,27.94,101
1,1.90E+12,2019-02-13T12:00:39,2019-02-13T12:01:22,43,21,5,TRUE,FALSE,35.68,101
1,1.90E+12,2019-02-13T12:01:43,2019-02-13T12:02:55,72,11,21,FALSE,TRUE,81.86,101
1,1.90E+12,2019-02-13T12:03:06,2019-02-13T12:03:15,9,5,3,TRUE,FALSE,2.1,101
1,1.90E+12,2019-02-13T12:03:20,2019-02-13T12:03:40,20,24,1,TRUE,FALSE,3.29,101
1,1.90E+12,2019-02-13T12:04:04,2019-02-13T12:04:10,6,12,1,TRUE,FALSE,3.5,101
1,1.90E+12,2019-02-13T12:04:22,2019-02-13T12:05:16,54,18,17,TRUE,FALSE,32.56,101
1,1.90E+12,2019-02-13T12:05:34,2019-02-13T12:06:51,77,11,25,FALSE,TRUE,52.25,101
1,1.90E+12,2019-02-13T14:03:19,2019-02-13T14:04:34,75,23,26,TRUE,FALSE,25.44,101
1,1.90E+12,2019-02-13T14:04:57,2019-02-13T14:05:20,23,17,3,FALSE,TRUE,28.37,101
1,1.90E+12,2019-02-13T14:05:37,2019-02-13T14:06:30,53,18,18,TRUE,FALSE,43.76,101
1,1.90E+12,2019-02-13T14:06:48,2019-02-13T14:07:40,52,26,6,TRUE,FALSE,56.62,101
1,1.90E+12,2019-02-13T14:08:06,2019-02-13T14:09:15,69,14,16,FALSE,TRUE,30.36,101
1,1.90E+12,2019-02-13T14:09:29,2019-02-13T14:10:05,36,19,6,TRUE,FALSE,22.41,101
1,1.90E+12,2019-02-13T14:10:24,2019-02-13T14:11:29,65,22,6,FALSE,TRUE,46.58,101
1,1.90E+12,2019-02-13T14:11:51,2019-02-13T14:12:04,13,13,3,TRUE,FALSE,17.47,101
1,1.90E+12,2019-02-13T14:12:17,2019-02-13T14:12:36,19,11,3,FALSE,TRUE,11.97,101
1,1.90E+12,2019-02-13T14:12:47,2019-02-13T14:13:28,41,21,12,TRUE,FALSE,37.29,101
1,1.90E+12,2019-02-13T14:13:49,2019-02-13T14:14:18,29,88,10,TRUE,FALSE,32.22,101
1,1.90E+12,2019-02-13T14:15:46,2019-02-13T14:17:01,75,13,16,FALSE,TRUE,62.4,101
1,1.90E+12,2019-02-13T14:17:14,2019-02-13T14:17:50,36,21,9,TRUE,FALSE,13.42,101
1,1.90E+12,2019-02-13T14:18:11,2019-02-13T14:19:22,71,20,14,TRUE,FALSE,56.81,101
1,1.90E+12,2019-02-13T14:19:42,2019-02-13T14:21:22,100,24,27,TRUE,FALSE,141.74,101
1,1.90E+13,2019-02-13T14:21:46,2019-02-13T14:22:36,50,17,10,TRUE,FALSE,29.83,101
1,1.90E+13,2019-02-13T14:22:53,2019-02-13T14:22:56,3,15,2,TRUE,FALSE,17.16,101
1,1.90E+13,2019-02-13T14:23:11,2019-02-13T14:23:16,5,19,1,TRUE,FALSE,1.99,101
1,1.90E+11,2019-02-14T07:20:35,2019-02-14T07:22:15,100,33,4,TRUE,FALSE,170.96,101
1,1.90E+11,2019-02-14T07:22:48,2019-02-14T07:23:46,58,20,21,TRUE,FALSE,68.66,101
1,1.90E+11,2019-02-14T07:24:06,2019-02-14T07:25:06,60,11,16,FALSE,TRUE,91.93,101
1,1.90E+12,2019-02-14T07:25:17,2019-02-14T07:25:48,31,24,4,TRUE,FALSE,43.35,101
1,1.90E+12,2019-02-14T07:26:12,2019-02-14T07:27:35,83,20,14,TRUE,FALSE,54.52,101
1,1.90E+12,2019-02-14T07:27:55,2019-02-14T07:28:08,13,15,6,TRUE,FALSE,36.79,101
1,1.90E+12,2019-02-14T07:28:23,2019-02-14T07:28:30,7,32,3,TRUE,FALSE,10.83,101
1,1.90E+12,2019-02-14T07:29:02,2019-02-14T07:29:58,56,22,8,TRUE,FALSE,11.34,101
1,1.90E+12,2019-02-14T07:30:20,2019-02-14T07:30:55,35,15,12,TRUE,FALSE,89.76,101
1,1.90E+12,2019-02-14T07:31:10,2019-02-14T07:32:06,56,21,14,TRUE,FALSE,91.04,101
1,1.90E+12,2019-02-14T07:32:27,2019-02-14T07:33:28,61,24,14,TRUE,FALSE,47.24,101
1,1.90E+12,2019-02-14T07:33:52,2019-02-14T07:34:00,8,19,1,TRUE,FALSE,4.4,101
1,1.90E+12,2019-02-14T07:34:19,2019-02-14T07:35:51,92,11,49,FALSE,TRUE,188.79,101
1,1.90E+12,2019-02-14T07:36:02,2019-02-14T07:37:00,58,32,23,TRUE,FALSE,173.11,101
1,1.90E+12,2019-02-14T07:37:32,2019-02-14T07:38:02,30,15,8,FALSE,TRUE,34.18,101
1,1.90E+12,2019-02-14T07:38:17,2019-02-14T07:38:53,36,30,14,TRUE,FALSE,74.21,101
1,1.90E+12,2019-02-14T07:39:23,2019-02-14T07:39:43,20,21,4,TRUE,FALSE,29.44,101
